Kategoria,Źródło,Tytuł,Data,Link,Podsumowanie,CVE_ID,CVSS_Score,Severity
Incydent,Checkpoint Research,6th October – Threat Intelligence Report,2025-10-06 09:44,https://research.checkpoint.com/2025/6th-october-threat-intelligence-report/,"For the latest discoveries in cyber research for the week of 6th October, please download our Threat Intelligence Bulletin. TOP ATTACKS AND BREACHES Red Hat has confirmed a cyber attack that resulted in unauthorized access to one of its GitLab instances. The attackers, Crimson Collective, claim to h...",,,
Incydent,Synacktiv,What could go wrong when MySQL strict SQL mode is off?,2025-10-02 00:00,https://www.synacktiv.com/en/publications/what-could-go-wrong-when-mysql-strict-sql-mode-is-off,"



 





What could go wrong when MySQL strict SQL mode is off?


02/10/2025


Pentest


                   This article shows some examples of attacks that can abuse MySQL behavior when the strict SQL mode is disabled, especially when string characters are invalid in the current encoding. This ha...",,,
Incydent,Kaist Hacking Lab,CROSS-X: Generalized and Stable Cross-Cache Attack on the Linux Kernel (to appear),2025-10-01 00:00,https://kaist-hacking.github.io/publication/kim-crossx/,,,,
Incydent,Checkpoint Research,29th September – Threat Intelligence Report,2025-09-29 12:43,https://research.checkpoint.com/2025/29th-september-threat-intelligence-report/,"For the latest discoveries in cyber research for the week of 29th September, please download our Threat Intelligence Bulletin. TOP ATTACKS AND BREACHES Stellantis, Automotive maker giant which owns Citroën, FIAT, Jeep, Chrysler, and Peugeot, has suffered a data breach that resulted in exposure of No...",,,
Incydent,Checkpoint Research,22nd September – Threat Intelligence Report,2025-09-22 08:31,https://research.checkpoint.com/2025/22nd-september-threat-intelligence-report/,"For the latest discoveries in cyber research for the week of 22nd September, please download our Threat Intelligence Bulletin. TOP ATTACKS AND BREACHES Several major European airports including Heathrow, Berlin, Brussels, Dublin, and Cork have experienced a cyber-attack, resulting in disruptions to ...",,,
Incydent,Portswigger,Cookie Chaos: How to bypass __Host and __Secure cookie prefixes,2025-09-03 14:46,https://portswigger.net/research/cookie-chaos-how-to-bypass-host-and-secure-cookie-prefixes,"Browsers added cookie prefixes to protect your sessions and stop attackers from setting harmful cookies. In this post, you’ll see how to bypass cookie defenses using discrepancies in browser and serve",,,
Incydent,Embrace The Red,How Deep Research Agents Can Leak Your Data,2025-08-25 01:03,https://embracethered.com/blog/posts/2025/chatgpt-deep-research-connectors-data-spill-and-leaks/,"Recently, many of our favorite AI chatbots have gotten autonomous research capabilities. This allows the AI to go off for an extended period of time, while having access to tools, such as web search, integrations, connectors and also custom-built MCP servers.
This post will explore and explain in de...",,,
Incydent,Google Security Research Advisories,OpenAI Operator - Click on arbitrary origin by TOCTOU attack,2025-08-18 00:00,https://github.com/google/security-research/security/advisories/GHSA-mp56-7vrw-qxvf,,,,
Incydent,Spaceraccoon,Escaping the Matrix: Client-Side Deanonymization Attacks on Privacy Sandbox APIs,2025-08-17 12:00,https://spaceraccoon.dev/client-side-deanonymization-attacks-privacy-sandbox-apis/,I recently presented at the DEF CON 33 Mainstage and the 12th Crypto & Privacy Village on weaknesses in implementations of Google’s Privacy Sandbox that subverted privacy protections and enabled deanonymization attacks.,,,
Incydent,Spaceraccoon,Getting a Shell on the LAU-G150-C Optical Network Terminal,2025-07-27 12:00,https://spaceraccoon.dev/getting-shell-lau-g150-c-optical-network-terminal/,"Since the Link-All LAU-G150-C Optical Network Terminal isn’t documented anywhere, I thought this was a great opportunity to practice some hardware hacking…",,,
